----------------------------------------------------------------------------------------------------------
Configuration     | Term   |    J |    g |         Level (eV) |   Uncertainty (eV) |    Landé | Reference
                  |        |  3/2 |    4 |        2.450570    |                    |    1.72  |     L3465
                  |        |  5/2 |    6 |        2.478913    |                    |    1.56  |     L3465
                  |        |  7/2 |    8 |        2.518831    |                    |    1.55  |     L3465
                  |        |  9/2 |   10 |        2.570673    |                    |    1.54  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.5s            | 199    |  5/2 |    6 |        2.471251    |                    |    1.13  |    L12172
                  |        |      |      |                    |                    |          |           
4d4.5s            | 200    |  7/2 |    8 |        2.487227    |                    |    1.10  |    L12172
                  |        |      |      |                    |                    |          |           
4d3.5s.(a 3F).5p  | z 4D*  |  1/2 |    2 |        2.492995    |                    |   -0.02  |     L3465
                  |        |  3/2 |    4 |        2.527247    |                    |    1.26  |     L3465
                  |        |  5/2 |    6 |        2.583580    |                    |    1.39  |     L3465
                  |        |  7/2 |    8 |        2.667170    |                    |    1.44  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(5F).5p    | z 6F*  | 11/2 |   12 |        2.5962192   |         0.0000025  |          |     L9102
                  |        |      |      |                    |                    |          |           
4d4.(5D).5p       | z 4P*  |  1/2 |    2 |        2.728488    |                    |    2.47  |     L3465
                  |        |  3/2 |    4 |        2.852487    |                    |    1.61  |     L3465
                  |        |  5/2 |    6 |        2.936496    |                    |    1.477 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(a 3F).5p  | z 4G*  |  5/2 |    6 |        2.807874    |                    |    0.578 |     L3465
                  |        |  7/2 |    8 |        2.854434    |                    |    0.98  |     L3465
                  |        |  9/2 |   10 |        2.918188    |                    |    1.15  |     L3465
                  |        | 11/2 |   12 |        3.000796    |                    |    1.25  |     L3465
                  |        |      |      |                    |                    |          |           
4d5               | 229    |  7/2 |    8 |        2.843813    |                    |    0.98  |    L12172
                  |        |      |      |                    |                    |          |           
4d5               | 230    |  9/2 |   10 |        2.852948    |                    |    1.16  |    L12172
                  |        | 11/2 |   12 |        2.857660    |                    |    1.25  |    L12172
                  |        |      |      |                    |                    |          |           
4d3.5s.(a 3F).5p  | z 4F*  |  3/2 |    4 |        2.881873    |                    |    0.416 |     L3465
                  |        |  5/2 |    6 |        2.922821    |                    |    1.061 |     L3465
                  |        |  7/2 |    8 |        2.977494    |                    |    1.243 |     L3465
                  |        |  9/2 |   10 |        3.038422    |                    |    1.336 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(a 3P).5p     | z 2D*  |  3/2 |    4 |        2.916827    |                    |    0.898 |     L3465
                  |        |  5/2 |    6 |        3.071464    |                    |    1.30  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(a 3P).5p     | z 2S*  |  1/2 |    2 |        2.964574    |                    |    2.123 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(5D).5p       | y 6F*  |  1/2 |    2 |        2.973745    |                    |   -0.601 |     L3465
                  |        |  3/2 |    4 |        2.996052    |                    |    1.060 |     L3465
                  |        |  5/2 |    6 |        3.024818    |                    |    1.306 |     L3465
                  |        |  7/2 |    8 |        3.071077    |                    |    1.380 |     L3465
                  |        |  9/2 |   10 |        3.124378    |                    |    1.427 |     L3465
                  |        | 11/2 |   12 |        3.183959    |                    |    1.450 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(5D).5p       | z 6P*  |  3/2 |    4 |        3.010750    |                    |    2.382 |     L3465
                  |        |  5/2 |    6 |        3.042960    |                    |    1.874 |     L3465
                  |        |  7/2 |    8 |        3.087809    |                    |    1.703 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(5P).5p    | y 6D*  |  1/2 |    2 |        3.208687    |                    |    3.22  |     L3465
                  |        |  3/2 |    4 |        3.231904    |                    |    1.820 |     L3465
                  |        |  5/2 |    6 |        3.271492    |                    |    1.610 |     L3465
                  |        |  7/2 |    8 |        3.326797    |                    |    1.248 |     L3465
                  |        |  9/2 |   10 |        3.399600    |                    |    1.422 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(5D).5p       | y 4F*  |  3/2 |    4 |        3.214911    |                    |    0.467 |     L3465
                  |        |  5/2 |    6 |        3.231109    |                    |    1.085 |     L3465
                  |        |  7/2 |    8 |        3.244144    |                    |    1.245 |     L3465
                  |        |  9/2 |   10 |        3.278183    |                    |    1.334 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(5D).5p       | x 6D*  |  1/2 |    2 |        3.292078    |                    |    2.441 |     L3465
                  |        |  3/2 |    4 |        3.312030    |                    |    1.45  |     L3465
                  |        |  5/2 |    6 |        3.345508    |                    |    1.618 |     L3465
                  |        |  7/2 |    8 |        3.400523    |                    |    1.567 |     L3465
                  |        |  9/2 |   10 |        3.468442    |                    |    1.542 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(5D).5p       | y 4D*  |  1/2 |    2 |        3.312576    |                    |    1.141 |     L3465
                  |        |  3/2 |    4 |        3.339745    |                    |    1.292 |     L3465
                  |        |  5/2 |    6 |        3.392170    |                    |    1.32  |     L3465
                  |        |  7/2 |    8 |        3.421560    |                    |    1.422 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3H).5p       | z 2G*  |  7/2 |    8 |        3.334763    |                    |    1.013 |     L3465
                  |        |  9/2 |   10 |        3.388711    |                    |    1.078 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(c 3P).5p  | y 4P*  |  1/2 |    2 |        3.409434    |                    |    2.467 |     L3465
                  |        |  3/2 |    4 |        3.444600    |                    |    1.660 |     L3465
                  |        |  5/2 |    6 |        3.526771    |                    |    1.606 |     L3465
                  |        |      |      |                    |                    |          |           
                  | 276*   |  5/2 |    6 |        3.423712    |                    |    1.370 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(c 3P).5p  | x 4D*  |  1/2 |    2 |        3.430204    |                    |    0.222 |     L3465
                  |        |  3/2 |    4 |        3.481363    |                    |    1.443 |     L3465
                  |        |  5/2 |    6 |        3.539677    |                    |    1.472 |     L3465
                  |        |  7/2 |    8 |        3.621506    |                    |    1.241 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(a 3F).5p  | z 2F*  |  5/2 |    6 |        3.446443    |                    |    1.16  |     L3465
                  |        |  7/2 |    8 |        3.537934    |                    |    1.12  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(a 3F).5p  | y 2G*  |  7/2 |    8 |        3.453596    |                    |    0.92  |     L3465
                  |        |  9/2 |   10 |        3.525334    |                    |    1.12  |     L3465
                  |        |      |      |                    |                    |          |           
                  | z 2P*  |  3/2 |    4 |        3.461496    |                    |    1.450 |     L3465
                  |        |  1/2 |    2 |        3.526378    |                    |    0.772 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(a 3P).5p     | z 4S*  |  3/2 |    4 |        3.497406    |                    |    1.794 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(5P).5p    | y 6P*  |  3/2 |    4 |        3.506056    |                    |    1.981 |     L3465
                  |        |  5/2 |    6 |        3.552477    |                    |    1.768 |     L3465
                  |        |  7/2 |    8 |        3.592209    |                    |    1.701 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(3G).5p    | z 4H*  |  7/2 |    8 |        3.629264    |                    |    0.890 |     L3465
                  |        |  9/2 |   10 |        3.659896    |                    |    1.01  |     L3465
                  |        | 11/2 |   12 |        3.700494    |                    |    1.15  |     L3465
                  |        | 13/2 |   14 |        3.743238    |                    |    1.23  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3H).5p       | y 4G*  |  5/2 |    6 |        3.640124    |                    |    0.693 |     L3465
                  |        |  7/2 |    8 |        3.690104    |                    |    0.999 |     L3465
                  |        |  9/2 |   10 |        3.734072    |                    |    1.276 |     L3465
                  |        | 11/2 |   12 |        3.801058    |                    |    1.25  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(a 3F).5p  | y 2D*  |  3/2 |    4 |        3.672750    |                    |    0.81  |     L3465
                  |        |  5/2 |    6 |        3.691729    |                    |    1.348 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(b 3F).5p     | x 4F*  |  3/2 |    4 |        3.692180    |                    |    0.42  |     L3465
                  |        |  5/2 |    6 |        3.717970    |                    |    1.006 |     L3465
                  |        |  7/2 |    8 |        3.739557    |                    |    1.18  |     L3465
                  |        |  9/2 |   10 |        3.754146    |                    |    1.20  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(5P).5p    | z 6S*  |  5/2 |    6 |        3.726915    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(a 1D).5p     | y 2F*  |  5/2 |    6 |        3.808361    |                    |    0.891 |     L3465
                  |        |  7/2 |    8 |        3.846674    |                    |    1.139 |     L3465
                  |        |      |      |                    |                    |          |           
                  | 309*   |  9/2 |   10 |        3.8360735   |         0.0000012  |          |     L9102
                  |        |      |      |                    |                    |          |           
4d3.5s.(5F).5p    | x 4G*  |  5/2 |    6 |        3.850528    |                    |    0.630 |     L3465
                  |        |  7/2 |    8 |        3.903667    |                    |    1.012 |     L3465
                  |        |  9/2 |   10 |        3.968068    |                    |    1.160 |     L3465
                  |        | 11/2 |   12 |        4.038503    |                    |    1.24  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(c 3P).5p  | y 4S*  |  3/2 |    4 |        3.865164    |                    |    1.957 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.5p         | 313*   | 11/2 |   12 |        3.890448    |                    |          |    L12172
                  |        |      |      |                    |                    |          |           
4d3.5s.(5F).5p    | w 4F*  |  3/2 |    4 |        3.911882    |                    |    0.501 |     L3465
                  |        |  5/2 |    6 |        3.969156    |                    |    1.01  |     L3465
                  |        |  7/2 |    8 |        4.008803    |                    |    1.199 |     L3465
                  |        |  9/2 |   10 |        4.082040    |                    |    1.24  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(1G).5p    | x 2F*  |  5/2 |    6 |                    |                    |          |     L3465
                  |        |  7/2 |    8 |        3.928753?   |                    |    1.20  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3D).5p       | v 4F*  |  3/2 |    4 |        3.931283    |                    |    0.80  |     L3465
                  |        |  5/2 |    6 |        3.943634    |                    |    1.048 |     L3465
                  |        |  7/2 |    8 |        3.964176    |                    |    1.343 |     L3465
                  |        |  9/2 |   10 |        4.042553    |                    |    1.216 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(1G).5p    | x 2G*  |  7/2 |    8 |        3.942789    |                    |    0.906 |     L3465
                  |        |  9/2 |   10 |        3.994019    |                    |    1.092 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3G).5p       | u 4F*  |  3/2 |    4 |        3.956056    |                    |    0.791 |     L3465
                  |        |  5/2 |    6 |        3.984825    |                    |    1.035 |     L3465
                  |        |  7/2 |    8 |        4.023534    |                    |    1.115 |     L3465
                  |        |  9/2 |   10 |        4.108378    |                    |    1.240 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(a 1G).5p     | w 2F*  |  5/2 |    6 |        3.959272    |                    |    0.982 |     L3465
                  |        |  7/2 |    8 |        3.978353    |                    |    1.074 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(a 3P).5p     | w 4D*  |  1/2 |    2 |        3.975685    |                    |    0.046 |     L3465
                  |        |  3/2 |    4 |        3.998328    |                    |    1.184 |     L3465
                  |        |  5/2 |    6 |        4.035130    |                    |    1.320 |     L3465
                  |        |  7/2 |    8 |        4.091961    |                    |    1.341 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3H).5p       | z 4I*  |  9/2 |   10 |        3.986836    |                    |    0.835 |     L3465
                  |        | 11/2 |   12 |        4.014886    |                    |    0.993 |     L3465
                  |        | 13/2 |   14 |        4.050860    |                    |    1.08  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(b 3F).5p     | w 4G*  |  5/2 |    6 |                    |                    |          |     L3465
                  |        |  7/2 |    8 |        4.029651    |                    |    1.06  |     L3465
                  |        |  9/2 |   10 |        4.066984    |                    |    1.21  |     L3465
                  |        | 11/2 |   12 |        4.144569    |                    |    1.27  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(1P).5p    | x 2D*  |  5/2 |    6 |                    |                    |          |     L3465
                  |        |  3/2 |    4 |        4.044739    |                    |    1.00  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3G).5p       | v 2F*  |  5/2 |    6 |        4.048639    |                    |    0.830 |     L3465
                  |        |  7/2 |    8 |        4.078966    |                    |    1.17  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(5F).5p    | v 4D*  |  1/2 |    2 |        4.092898    |                    |    0.46  |     L3465
                  |        |  3/2 |    4 |        4.180376    |                    |    1.230 |     L3465
                  |        |  5/2 |    6 |        4.199615    |                    |    1.350 |     L3465
                  |        |  7/2 |    8 |        4.236409    |                    |    1.390 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(b 1D).5p  | w 2D*  |  3/2 |    4 |        4.102263    |                    |    1.058 |     L3465
                  |        |  5/2 |    6 |        4.139816    |                    |    1.212 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(3H).5p    | z 4I*  | 15/2 |   16 |        4.105905    |                    |    1.19  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(c 3P).5p  | y 2P*  |  1/2 |    2 |        4.203342    |                    |    0.442 |     L3465
                  |        |  3/2 |    4 |        4.246826    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(1H).5p    | z 2I*  | 11/2 |   12 |        4.215969    |                    |    0.946 |     L3465
                  |        | 13/2 |   14 |        4.255534    |                    |    1.08  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(1H).5p    | w 2G*  |  9/2 |   10 |        4.244604    |                    |    1.10  |     L3465
                  |        |  7/2 |    8 |        4.255025    |                    |    0.87  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3H).5p       | z 2H*  |  9/2 |   10 |        4.266981    |                    |    0.819 |     L3465
                  |        | 11/2 |   12 |        4.319402    |                    |    1.01  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(5P).5p    | x 4P*  |  1/2 |    2 |        4.295336    |                    |    2.05  |     L3465
                  |        |  5/2 |    6 |        4.302710    |                    |    1.55  |     L3465
                  |        |  3/2 |    4 |        4.323041    |                    |    1.587 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3G).5p       | v 4G*  |  5/2 |    6 |        4.296646    |                    |    0.627 |     L3465
                  |        |  7/2 |    8 |        4.321283    |                    |    1.000 |     L3465
                  |        |  9/2 |   10 |        4.358905    |                    |    1.073 |     L3465
                  |        | 11/2 |   12 |        4.417634    |                    |    1.160 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(b 3P).5p  | v 2D*  |  3/2 |    4 |        4.308786    |                    |    0.948 |     L3465
                  |        |  5/2 |    6 |        4.401127    |                    |    1.160 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(c 3P).5p  | y 2S*  |  1/2 |    2 |        4.315589    |                    |    2.080 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(b 1D).5p  | u 2F*  |  5/2 |    6 |        4.351828    |                    |    0.868 |     L3465
                  |        |  7/2 |    8 |        4.361618    |                    |    1.117 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(b 3P).5p  | x 4S*  |  3/2 |    4 |        4.354282    |                    |    1.806 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.5p            | 353*   | 13/2 |   14 |        4.381201    |                    |    1.15  |    L12172
                  |        |      |      |                    |                    |          |           
4d4.(3G).5p       | y 2H*  | 11/2 |   12 |        4.382204    |                    |    1.125 |     L3465
                  |        |  9/2 |   10 |        4.400991    |                    |    0.954 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3H).5p       | 4I*    | 15/2 |   16 |        4.430122?   |                    |    1.24  |    L12172
                  |        |      |      |                    |                    |          |           
4d4.(b 3F).5p     | u 2D*  |  3/2 |    4 |        4.442287    |                    |    0.834 |     L3465
                  |        |  5/2 |    6 |        4.454548    |                    |    1.17  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(b 3F).5p     | u 4D*  |  1/2 |    2 |        4.453568    |                    |    0.019 |     L3465
                  |        |  3/2 |    4 |        4.465447    |                    |    1.195 |     L3465
                  |        |  5/2 |    6 |        4.485764    |                    |    1.316 |     L3465
                  |        |  7/2 |    8 |        4.504868    |                    |    1.378 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(3G).5p    | v 2G*  |  7/2 |    8 |        4.469395    |                    |    0.925 |     L3465
                  |        |  9/2 |   10 |        4.504805    |                    |    1.086 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(a 1G).5p     | x 2H*  |  9/2 |   10 |                    |                    |          |     L3465
                  |        | 11/2 |   12 |        4.497622    |                    |    1.14  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(5P).5p    | w 4S*  |  3/2 |    4 |        4.509435    |                    |    1.948 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3H).5p       | y 4H*  |  7/2 |    8 |        4.520506    |                    |    0.691 |     L3465
                  |        |  9/2 |   10 |        4.552341    |                    |    0.970 |     L3465
                  |        | 11/2 |   12 |        4.584452    |                    |    1.15  |     L3465
                  |        | 13/2 |   14 |        4.618958    |                    |    1.23  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(3G).5p    | t 2F*  |  5/2 |    6 |                    |                    |          |     L3465
                  |        |  7/2 |    8 |        4.526848?   |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3D).5p       | s 2F*  |  5/2 |    6 |        4.570876    |                    |    0.846 |     L3465
                  |        |  7/2 |    8 |        4.584836    |                    |    1.14  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(c 3F).5p     | t 4F*  |  3/2 |    4 |        4.601261    |                    |    0.526 |     L3465
                  |        |  5/2 |    6 |        4.622952    |                    |    0.964 |     L3465
                  |        |  7/2 |    8 |        4.654326    |                    |    1.172 |     L3465
                  |        |  9/2 |   10 |        4.690518    |                    |    1.260 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(c 3F).5p     | u 4G*  |  5/2 |    6 |        4.610759    |                    |    0.840 |     L3465
                  |        |  7/2 |    8 |        4.630004    |                    |    1.058 |     L3465
                  |        |  9/2 |   10 |        4.652325    |                    |    1.190 |     L3465
                  |        | 11/2 |   12 |        4.681718    |                    |    1.25  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(5D).6s       | e 6D   |  1/2 |    2 |        4.638270    |                    |          |     L3465
                  |        |  3/2 |    4 |        4.659167    |                    |          |     L3465
                  |        |  5/2 |    6 |        4.691855    |                    |          |     L3465
                  |        |  7/2 |    8 |        4.733425    |                    |          |     L3465
                  |        |  9/2 |   10 |        4.781804    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3D).5p       | t 4D*  |  1/2 |    2 |        4.653940    |                    |    0.10  |     L3465
                  |        |  3/2 |    4 |        4.705819    |                    |    1.051 |     L3465
                  |        |  5/2 |    6 |        4.760186    |                    |    1.371 |     L3465
                  |        |  7/2 |    8 |        4.817299    |                    |    1.305 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3G).5p       | x 4H*  |  7/2 |    8 |        4.664847    |                    |    0.706 |     L3465
                  |        |  9/2 |   10 |        4.694793    |                    |    0.992 |     L3465
                  |        | 11/2 |   12 |        4.729223    |                    |    1.089 |     L3465
                  |        | 13/2 |   14 |        4.775109    |                    |    1.21  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(b 3F).5p     | r 2F*  |  5/2 |    6 |        4.688418    |                    |    0.876 |     L3465
                  |        |  7/2 |    8 |        4.740145    |                    |    1.111 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(b 3D).5p  | t 2D*  |  3/2 |    4 |        4.694714    |                    |    0.90  |     L3465
                  |        |  5/2 |    6 |        4.733756    |                    |    1.077 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(5F).6s    | e 6F   |  1/2 |    2 |        4.695443    |                    |          |     L3465
                  |        |  3/2 |    4 |        4.714054    |                    |          |     L3465
                  |        |  5/2 |    6 |        4.745692    |                    |          |     L3465
                  |        |  7/2 |    8 |        4.790560    |                    |          |     L3465
                  |        |  9/2 |   10 |        4.847873    |                    |          |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3D).5p       | x 2P*  |  1/2 |    2 |        4.734084    |                    |    0.564 |     L3465
                  |        |  3/2 |    4 |        4.766793    |                    |    1.29  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3H).5p       | y 2I*  | 11/2 |   12 |        4.742554    |                    |    0.97  |     L3465
                  |        | 13/2 |   14 |        4.783687    |                    |    1.09  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s.(1G).5p    | w 2H*  |  9/2 |   10 |        4.767040    |                    |    0.936 |     L3465
                  |        | 11/2 |   12 |        4.837964    |                    |    1.084 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3D).5p       | w 4P*  |  3/2 |    4 |        4.799386    |                    |    1.660 |     L3465
                  |        |  1/2 |    2 |        4.801928    |                    |    2.55  |     L3465
                  |        |  5/2 |    6 |        4.806042    |                    |    1.588 |     L3465
